shoe_id,shoe_dir,num_images,num_masks,image_dir,mask_dir,colmap_dir,has_cameras_txt,has_images_txt,has_points3D_txt,has_cameras_bin,has_images_bin,has_points3D_bin,has_undistorted,has_target_poses,has_sparse,notes
Adidas-Yeezy-Boost-350-V2-Desert-Sage-Infant,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Desert-Sage-Infant,36,36,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Desert-Sage-Infant/images,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Desert-Sage-Infant/masks,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Desert-Sage-Infant/colmap,True,True,True,True,True,True,True,True,False,
Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Infants,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Infants,36,36,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Infants/images,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Infants/masks,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Infants/colmap,True,True,True,True,True,True,True,True,False,
Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Kids,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Kids,36,36,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Kids/images,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Kids/masks,/data/abelde/datasets/raw/golden_set/Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Kids/colmap,True,True,True,True,True,True,True,True,False,
Air-Jordan-1-Mid-Wear-Away-Chicago-Gs,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Mid-Wear-Away-Chicago-Gs,36,36,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Mid-Wear-Away-Chicago-Gs/images,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Mid-Wear-Away-Chicago-Gs/masks,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Mid-Wear-Away-Chicago-Gs/colmap,True,True,True,True,True,True,True,True,True,
Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey-Gs,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey-Gs,36,36,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey-Gs/images,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey-Gs/masks,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey-Gs/colmap,True,True,True,True,True,True,True,True,False,
Air-Jordan-1-Retro-High-Og-Washed-Black-Gs,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Og-Washed-Black-Gs,36,36,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Og-Washed-Black-Gs/images,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Og-Washed-Black-Gs/masks,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Og-Washed-Black-Gs/colmap,True,True,True,True,True,True,True,True,False,
Air-Jordan-1-Retro-High-Og-White-Cement-Gs,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Og-White-Cement-Gs,36,36,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Og-White-Cement-Gs/images,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Og-White-Cement-Gs/masks,/data/abelde/datasets/raw/golden_set/Air-Jordan-1-Retro-High-Og-White-Cement-Gs/colmap,True,True,True,True,True,True,True,True,False,
Air-Jordan-12-Retro-Arctic-Punch-Gs,/data/abelde/datasets/raw/golden_set/Air-Jordan-12-Retro-Arctic-Punch-Gs,36,36,/data/abelde/datasets/raw/golden_set/Air-Jordan-12-Retro-Arctic-Punch-Gs/images,/data/abelde/datasets/raw/golden_set/Air-Jordan-12-Retro-Arctic-Punch-Gs/masks,/data/abelde/datasets/raw/golden_set/Air-Jordan-12-Retro-Arctic-Punch-Gs/colmap,True,True,True,True,True,True,True,True,False,
Air-Jordan-13-Retro-Houndstooth-Gs,/data/abelde/datasets/raw/golden_set/Air-Jordan-13-Retro-Houndstooth-Gs,36,36,/data/abelde/datasets/raw/golden_set/Air-Jordan-13-Retro-Houndstooth-Gs/images,/data/abelde/datasets/raw/golden_set/Air-Jordan-13-Retro-Houndstooth-Gs/masks,/data/abelde/datasets/raw/golden_set/Air-Jordan-13-Retro-Houndstooth-Gs/colmap,True,True,True,True,True,True,True,True,False,
Air-Jordan-5-Retro-Plaid-Gs,/data/abelde/datasets/raw/golden_set/Air-Jordan-5-Retro-Plaid-Gs,36,36,/data/abelde/datasets/raw/golden_set/Air-Jordan-5-Retro-Plaid-Gs/images,/data/abelde/datasets/raw/golden_set/Air-Jordan-5-Retro-Plaid-Gs/masks,/data/abelde/datasets/raw/golden_set/Air-Jordan-5-Retro-Plaid-Gs/colmap,True,True,True,True,True,True,True,True,False,
Air-Jordan-6-Retro-Washed-Denim-2022-Gs,/data/abelde/datasets/raw/golden_set/Air-Jordan-6-Retro-Washed-Denim-2022-Gs,36,36,/data/abelde/datasets/raw/golden_set/Air-Jordan-6-Retro-Washed-Denim-2022-Gs/images,/data/abelde/datasets/raw/golden_set/Air-Jordan-6-Retro-Washed-Denim-2022-Gs/masks,/data/abelde/datasets/raw/golden_set/Air-Jordan-6-Retro-Washed-Denim-2022-Gs/colmap,True,True,True,True,True,True,True,True,False,
Birkenstock-Boston-Suede-Stone-Coin,/data/abelde/datasets/raw/golden_set/Birkenstock-Boston-Suede-Stone-Coin,36,36,/data/abelde/datasets/raw/golden_set/Birkenstock-Boston-Suede-Stone-Coin/images,/data/abelde/datasets/raw/golden_set/Birkenstock-Boston-Suede-Stone-Coin/masks,/data/abelde/datasets/raw/golden_set/Birkenstock-Boston-Suede-Stone-Coin/colmap,True,True,True,True,True,True,True,True,False,
Crocs-Classic-Clog-Cinnamon-Toast-Crunch,/data/abelde/datasets/raw/golden_set/Crocs-Classic-Clog-Cinnamon-Toast-Crunch,36,36,/data/abelde/datasets/raw/golden_set/Crocs-Classic-Clog-Cinnamon-Toast-Crunch/images,/data/abelde/datasets/raw/golden_set/Crocs-Classic-Clog-Cinnamon-Toast-Crunch/masks,/data/abelde/datasets/raw/golden_set/Crocs-Classic-Clog-Cinnamon-Toast-Crunch/colmap,True,True,True,True,True,True,True,True,False,
Crocs-Classic-Clog-Cinnamon-Toast-Crunch-Gs,/data/abelde/datasets/raw/golden_set/Crocs-Classic-Clog-Cinnamon-Toast-Crunch-Gs,36,36,/data/abelde/datasets/raw/golden_set/Crocs-Classic-Clog-Cinnamon-Toast-Crunch-Gs/images,/data/abelde/datasets/raw/golden_set/Crocs-Classic-Clog-Cinnamon-Toast-Crunch-Gs/masks,/data/abelde/datasets/raw/golden_set/Crocs-Classic-Clog-Cinnamon-Toast-Crunch-Gs/colmap,True,True,True,True,True,True,True,True,False,
